========== WEATHER DATA ADVANCED REPORT ==========

Total Days Recorded: 30

------ Temperature Analysis ------
Average Temperature: 30.87 °C
Maximum Temperature: 35.20 °C (2025-11-04)
Minimum Temperature: 27.50 °C (2025-11-28)
Days Above 30°C: 19

------ Humidity Analysis ------
Average Humidity: 52.23 %
Highest Humidity: 68 % (2025-11-28)
Days With Humidity > 80%: 0

------ Rainfall Analysis ------
Total Rainfall: 92.90 mm
Average Rainfall: 3.10 mm
Highest Rainfall: 12.40 mm (2025-11-20)
Rainy Days (>5mm): 8

------ Raw Data ------
Date	Temp(C)	Humidity(%)	Rainfall(mm)
2025-11-01	32.50	45	0.00
2025-11-02	30.10	55	2.30
2025-11-03	28.70	60	5.60
2025-11-04	35.20	40	0.00
2025-11-05	31.80	50	1.20
2025-11-06	29.50	58	3.10
2025-11-07	27.80	62	7.40
2025-11-08	30.60	48	0.00
2025-11-09	33.20	42	0.00
2025-11-10	34.10	38	0.00
2025-11-11	31.40	52	1.80
2025-11-12	29.70	57	4.50
2025-11-13	28.30	65	8.70
2025-11-14	30.90	49	0.00
2025-11-15	32.80	44	0.00
2025-11-16	33.50	41	0.00
2025-11-17	31.00	53	2.00
2025-11-18	29.20	59	6.30
2025-11-19	27.90	63	9.10
2025-11-20	28.60	66	12.40
2025-11-21	30.30	54	1.10
2025-11-22	31.90	46	0.00
2025-11-23	33.10	43	0.00
2025-11-24	34.40	39	0.00
2025-11-25	32.00	47	0.80
2025-11-26	30.20	56	3.90
2025-11-27	28.90	61	6.80
2025-11-28	27.50	68	11.70
2025-11-29	29.40	57	4.20
2025-11-30	31.60	49	0.00
