Date        Temp    Humidity    Rainfall
2025-11-01  32.5    45          0.0
2025-11-02  30.1    55          2.3
2025-11-03  28.7    60          5.6
2025-11-04  35.2    40          0.0
2025-11-05  31.8    50          1.2
2025-11-06  29.5    58          3.1
2025-11-07  27.8    62          7.4
2025-11-08  30.6    48          0.0
2025-11-09  33.2    42          0.0
2025-11-10  34.1    38          0.0
2025-11-11  31.4    52          1.8
2025-11-12  29.7    57          4.5
2025-11-13  28.3    65          8.7
2025-11-14  30.9    49          0.0
2025-11-15  32.8    44          0.0
2025-11-16  33.5    41          0.0
2025-11-17  31.0    53          2.0
2025-11-18  29.2    59          6.3
2025-11-19  27.9    63          9.1
2025-11-20  28.6    66          12.4
2025-11-21  30.3    54          1.1
2025-11-22  31.9    46          0.0
2025-11-23  33.1    43          0.0
2025-11-24  34.4    39          0.0
2025-11-25  32.0    47          0.8
2025-11-26  30.2    56          3.9
2025-11-27  28.9    61          6.8
2025-11-28  27.5    68          11.7
2025-11-29  29.4    57          4.2
2025-11-30  31.6    49          0.0
